Date,Day,Exercises,Set #,Weight,# of Reps,Volume,Notes
11/16/2025,Push,Bench Press,3,114.0925,8,2738.22,Failed  on last 2
11/16/2025,Push,Cable Lateral Raise,3,5,9,135,Did Kojo's new Technique
11/16/2025,Push,Dumbbell Lateral Raise,3,10,8,240,Felt easy
11/16/2025,Push,Overhead Press,3,49.0925,8,1178.22,
11/16/2025,Push,Pushups,3,0,66,0,
11/16/2025,Push,Tricep Push Down,4,35,9,1260,
11/16/2025,Push,Uppercuts,3,5,8,120,New to this
11/17/2025,Pull,Hammer Curls,3,20,8,480,
11/17/2025,Pull,Narrow Lat Pull Down,1,90,8,720,
11/17/2025,Pull,RDL,3,134.0925,8,3218.22,
11/17/2025,Pull,Rear Cable Fly,3,5,12,180,
11/17/2025,Pull,Wide Lat Pull Down,3,90,8,2160,
12/1/2025,Pull,Dumbbell Curls,3,15,9,405,
12/1/2025,Pull,Dumbbell Lateral Raise,3,10,9,270,
12/1/2025,Pull,High Row,3,70,8,1680,90+60+80
12/1/2025,Pull,Low Row,3,80,8,1920,Felt too easy 
12/1/2025,Pull,RDL,3,45,8,1080,
12/1/2025,Pull,Rear Cable Fly,3,5,9,135,
12/2/2025,Push,Body Weight Dips,3,144,8,3456,
12/2/2025,Push,Incline Bench,3,114.0925,8,2738.22,Better than with Kojo
12/2/2025,Push,Overhead Press,3,44.0925,6,793.665,
12/6/2025,Leg,Leg Press,3,140,8,3360,
12/6/2025,Leg,Lying Leg Curl,3,60,8,1440,
12/6/2025,Leg,Zercher Squats,3,64.0925,8,1538.22,
12/7/2025,Push,Cable Lateral Raise,3,5,12,180,
12/7/2025,Push,Dumbbell Lateral Raise,3,12.5,8,300,
12/7/2025,Push,Overhead Press,3,74.0925,6,1333.665,
12/9/2025,Pull,Pull-Ups ,3,145,6,2610,CPCC gym
12/9/2025,Pull,Low Row,3,85,8,2535,
12/9/2025,Pull,Lat Pull Down,3,85,8,2040,
12/9/2025,Pull,Narrow Lat Pull Down,2,85,8,1360,
12/9/2025,Pull,Back Extension,3,100,8,2400,
12/9/2025,Pull,Hammer Curls,3,15,8,360,
12/9/2025,Pull,Dumbbell Curls,3,15,8,360,
12/10/2025,Leg,Lying Leg Curl,3,62.5,8,1500,Felt super easy. Add weight 
12/10/2025,Leg,Zercher Squats,3,69.0925,8,1658.22,Felt Easy.
12/10/2025,Leg,Calf Raise,3,120,8,2880,
12/10/2025,Leg,Leg Press,3,150,8,3600,
12/13/2025,Push,Bench Press,3,124.0925,5,1861.3875,
12/13/2025,Push,Body Weight Dips,3,146,8,3504,
12/13/2025,Push,Incline Dumbbell Press,2,70,8,1120,
12/13/2025,Push,Skull Crushers ,3,30,8,720,
12/13/2025,Push,Cable Lateral Raise,3,5,9,135,
12/14/2025,Pull,RDL,3,145,8,3480,
12/15/2025,Push,Incline Dumbbell Press,3,80,8,1920,
12/15/2025,Push,Skull Crushers ,3,30,9,810,
